date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:18	85203/85203	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:15%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/dresses/casual-dresses.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/dresses/casual-dresses.html	(from )
09:57:20	86285/86285	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:18%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/dresses/evening.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/dresses/evening.html	(from )
09:57:22	85127/85127	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:20%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/dresses/designer.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/dresses/designer.html	(from )
09:57:24	85089/85089	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:22%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/dresses/party.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/dresses/party.html	(from )
09:57:26	85676/85676	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:24%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/lingerie.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/lingerie.html	(from )
09:57:28	85088/85088	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:26%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/lingerie/bras.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/lingerie/bras.html	(from )
09:57:30	85100/85100	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:28%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/lingerie/bodies.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/lingerie/bodies.html	(from )
09:57:33	85202/85202	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:30%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/lingerie/lingerie-sets.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/lingerie/lingerie-sets.html	(from )
09:57:39	85138/85138	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:33%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/lingerie/shapewear.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/lingerie/shapewear.html	(from )
09:57:41	85751/85751	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:39%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets.html	(from )
